"type","title","release_year"
"Movie","U-Turn",2020
"Movie","Finding Agnes",2020
"Movie","The 2nd",2020
"Movie","A Go! Go! Cory Carson Christmas",2020
"Movie","Dance Dreams: Hot Chocolate Nutcracker",2020
"Movie","Don’t Listen",2020
"Movie","The Beast",2020
"Movie","The Call",2020
"Movie","Larry the Cable Guy: Remain Seated",2020
"Movie","Mosul",2020
"Movie","Ghosts of War",2020
"Movie","Shawn Mendes: Live in Concert",2020
"Movie","The Christmas Chronicles: Part Two",2020
"Movie","Andhaghaaram",2020
"Movie","Andhakaaram",2020
"Movie","Dragons: Rescue Riders: Huttsgalor Holiday",2020
"Movie","Hillbilly Elegy",2020
"Movie","Notes for My Son",2020
"Movie","Hard Kill",2020
"Movie","Dolly Parton’s Christmas on the Square",2020
"Movie","Alien Xmas",2020
"Movie","If Anything Happens I Love You",2020
"Movie","The App That Stole Christmas",2020
"Movie","The Princess Switch: Switched Again",2020
"Movie","Ainu Mosir",2020
"Movie","Kevin Hart: Zero F**ks Given",2020
"Movie","Fukrey Boyzzz: Space Mein Fukrapanti",2020
"Movie","Jingle Jangle: A Christmas Journey",2020
"Movie","The Beginning of Life 2: Outside",2020
"Movie","The Life Ahead",2020
"Movie","Ludo",2020
"Movie","What We Wanted",2020
"Movie","Citation",2020
"Movie","Girl's Revenge",2020
"Movie","A New York Christmas Wedding",2020
"Movie","Midnight at the Magnolia",2020
"Movie","Operation Christmas Drop",2020
"Movie","Miss India",2020
"Movie","Felix Lobrecht: Hype",2020
"Movie","MOTHER",2020
"Movie","Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón",2020
"Movie","Elf Pets: A Fox Cub’s Christmas Tale",2020
"Movie","Elf Pets: Santa’s Reindeer Rescue",2020
"Movie","Wheels of Fortune",2020
"Movie","His House",2020
"Movie","Kaali Khuhi",2020
"Movie","Rogue City",2020
"Movie","The Day of the Lord",2020
"Movie","Holidate",2020
"Movie","Nobody Sleeps in the Woods Tonight",2020
"Movie","Secrets of the Saqqara Tomb",2020
"Movie","Guillermo Vilas: Settling the Score",2020
"Movie","Sarah Cooper: Everything's Fine",2020
"Movie","Over the Moon",2020
"Movie","Cadaver",2020
"Movie","Yes, God, Yes",2020
"Movie","Brave Blue World: Racing to Solve Our Water Crisis",2020
"Movie","Rebecca",2020
"Movie","The Magic School Bus Rides Again The Frizz Connection",2020
"Movie","Tremors: Shrieker Island",2020
"Movie","I Am Vengeance: Retaliation",2020
"Movie","The Trial of the Chicago 7",2020
"Movie","A Babysitter's Guide to Monster Hunting",2020
"Movie","Love Like the Falling Rain",2020
"Movie","Rooting for Roona",2020
"Movie","A Choo",2020
"Movie","BLACKPINK: Light Up the Sky",2020
"Movie","The Three Deaths of Marisela Escobedo",2020
"Movie","Octonauts & the Great Barrier Reef",2020
"Movie","Ginny Weds Sunny",2020
"Movie","Super Monsters: Dia de los Monsters",2020
"Movie","The Forty-Year-Old Version",2020
"Movie","Bigflo & Oli: Hip Hop Frenzy",2020
"Movie","Hubie Halloween",2020
"Movie","American Pie 9: Girls' Rules",2020
"Movie","StarBeam: Halloween Hero",2020
"Movie","David Attenborough: A Life on Our Planet",2020
"Movie","Hope Frozen: A Quest to Live Twice",2020
"Movie","Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020
"Movie","A Go! Go! Cory Carson Halloween",2020
"Movie","Òlòtūré",2020
"Movie","Serious Men",2020
"Movie","The Binding",2020
"Movie","Vampires vs. the Bronx",2020
"Movie","You've Got This",2020
"Movie","All Because of You",2020
"Movie","Michael McIntyre: Showman",2020
"Movie","The Book of Sun",2020
"Movie","The Outpost",2020
"Movie","American Murder: The Family Next Door",2020
"Movie","The Boys in the Band",2020
"Movie","The Boys in the Band: Something Personal",2020
"Movie","Michelle Buteau: Welcome to Buteaupia",2020
"Movie","Welcome to Sudden Death",2020
"Movie","Enola Holmes",2020
"Movie","Kiss the Ground",2020
"Movie","A Love Song for Latasha",2020
"Movie","Dolly Kitty Aur Woh Chamakte Sitare",2020
"Movie","Whipped",2020
"Movie","GIMS: On the Record",2020
"Movie","Horrid Henry's Gross Day Out",2020
"Movie","Residue",2020
"Movie","The Devil All The Time",2020
"Movie","The Paramedic",2020
"Movie","Wish Upon a Unicorn",2020
"Movie","Dad Wanted",2020
"Movie","Pets United",2020
"Movie","The Babysitter: Killer Queen",2020
"Movie","Cargo",2020
"Movie","Cuties",2020
"Movie","So Much Love to Give",2020
"Movie","The Social Dilemma",2020
"Movie","#Alive",2020
"Movie","My Octopus Teacher",2020
"Movie","Villain",2020
"Movie","I'm Thinking of Ending Things",2020
"Movie","Afonso Padilha: Classless",2020
"Movie","Love, Guaranteed",2020
"Movie","Freaks – You're One of Us",2020
"Movie","Sky Tour: The Movie",2020
"Movie","Barbie Princess Adventure",2020
"Movie","The Boss Baby: Get That Baby!",2020
"Movie","The Match",2020
"Movie","True: Friendship Day",2020
"Movie","Maniyarayile Ashokan",2020
"Movie","The Debt Collector 2",2020
"Movie","All Together Now",2020
"Movie","Santana",2020
"Movie","Unknown Origins",2020
"Movie","The Bridge Curse",2020
"Movie","Making The Witcher",2020
"Movie","Rising Phoenix",2020
"Movie","Class of '83",2020
"Movie","Dark Forces",2020
"Movie","The Sleepover",2020
"Movie","John Was Trying to Contact Aliens",2020
"Movie","The Crimes That Bind",2020
"Movie","Little Singham: Kaal Ka Badla",2020
"Movie","Crazy Awesome Teachers",2020
"Movie","Beyond the Boundary: ICC Women's T20 World Cup Australia 2020",2020
